sample_id,sample_index,audio_path,split,wave_frame_normalized,filter_cutoff_normalized,filter_resonance_normalized,filter_drive_normalized,amp_attack_normalized,amp_decay_normalized,amp_sustain_normalized,amp_release_normalized
pilot_v1_00000,0,data\raw\audio\pilot_v1\pilot_v1_00000.wav,train,0.5593363046646118,0.4968908429145813,0.26482224464416504,0.5210748910903931,0.18792618811130524,0.2581033706665039,0.40187835693359375,0.20284205675125122
pilot_v1_00001,1,data\raw\audio\pilot_v1\pilot_v1_00001.wav,test,0.046786118298769,0.6183102130889893,0.6035115122795105,0.08280085772275925,0.36593762040138245,0.4200248420238495,0.8203170895576477,0.3887616693973541
pilot_v1_00002,2,data\raw\audio\pilot_v1\pilot_v1_00002.wav,train,0.4230934977531433,0.4138450026512146,0.16036365926265717,0.5992260575294495,0.2759867310523987,0.3946917951107025,0.21089524030685425,0.31776365637779236
pilot_v1_00003,3,data\raw\audio\pilot_v1\pilot_v1_00003.wav,test,0.9082851409912109,0.8402072191238403,0.521696925163269,0.28443339467048645,0.05443882569670677,0.227120041847229,0.6168605089187622,0.109968401491642
pilot_v1_00004,4,data\raw\audio\pilot_v1\pilot_v1_00004.wav,train,0.8131392598152161,0.34904927015304565,0.7191511988639832,0.22892972826957703,0.14831894636154175,0.30806583166122437,0.38064971566200256,0.3600494861602783
pilot_v1_00005,5,data\raw\audio\pilot_v1\pilot_v1_00005.wav,train,0.33159446716308594,0.7669577598571777,0.3609532415866852,0.6671808958053589,0.31969282031059265,0.4904950261116028,0.7995046973228455,0.1522575169801712
pilot_v1_00006,6,data\raw\audio\pilot_v1\pilot_v1_00006.wav,train,0.2005399614572525,0.561145007610321,0.4056410789489746,0.15070991218090057,0.43442943692207336,0.3447694480419159,0.581781268119812,0.2453213632106781
pilot_v1_00007,7,data\raw\audio\pilot_v1\pilot_v1_00007.wav,train,0.7172252535820007,0.6910275816917419,0.06386153399944305,0.46561700105667114,0.20701906085014343,0.1566898375749588,0.9881131649017334,0.4312390089035034
pilot_v1_00008,8,data\raw\audio\pilot_v1\pilot_v1_00008.wav,train,0.6625480055809021,0.39394235610961914,0.49349328875541687,0.7303751111030579,0.3774029016494751,0.20872391760349274,0.3203166425228119,0.3237268030643463
pilot_v1_00009,9,data\raw\audio\pilot_v1\pilot_v1_00009.wav,train,0.17709699273109436,0.7902942895889282,0.025920702144503593,0.24849848449230194,0.15624608099460602,0.36927786469459534,0.7018787860870361,0.18159456551074982
