query_id,sample_index,audio_path
pilot_v1_00045,45,data\raw\audio\pilot_v1\pilot_v1_00045.wav
pilot_v1_00046,46,data\raw\audio\pilot_v1\pilot_v1_00046.wav
pilot_v1_00068,68,data\raw\audio\pilot_v1\pilot_v1_00068.wav
pilot_v1_00071,71,data\raw\audio\pilot_v1\pilot_v1_00071.wav
pilot_v1_00107,107,data\raw\audio\pilot_v1\pilot_v1_00107.wav
pilot_v1_00121,121,data\raw\audio\pilot_v1\pilot_v1_00121.wav
pilot_v1_00126,126,data\raw\audio\pilot_v1\pilot_v1_00126.wav
pilot_v1_00133,133,data\raw\audio\pilot_v1\pilot_v1_00133.wav
pilot_v1_00158,158,data\raw\audio\pilot_v1\pilot_v1_00158.wav
pilot_v1_00174,174,data\raw\audio\pilot_v1\pilot_v1_00174.wav
pilot_v1_00181,181,data\raw\audio\pilot_v1\pilot_v1_00181.wav
pilot_v1_00196,196,data\raw\audio\pilot_v1\pilot_v1_00196.wav
pilot_v1_00388,388,data\raw\audio\pilot_v1\pilot_v1_00388.wav
pilot_v1_00406,406,data\raw\audio\pilot_v1\pilot_v1_00406.wav
pilot_v1_00439,439,data\raw\audio\pilot_v1\pilot_v1_00439.wav
pilot_v1_00512,512,data\raw\audio\pilot_v1\pilot_v1_00512.wav
pilot_v1_00530,530,data\raw\audio\pilot_v1\pilot_v1_00530.wav
pilot_v1_00534,534,data\raw\audio\pilot_v1\pilot_v1_00534.wav
pilot_v1_00551,551,data\raw\audio\pilot_v1\pilot_v1_00551.wav
pilot_v1_00573,573,data\raw\audio\pilot_v1\pilot_v1_00573.wav
pilot_v1_00625,625,data\raw\audio\pilot_v1\pilot_v1_00625.wav
pilot_v1_00628,628,data\raw\audio\pilot_v1\pilot_v1_00628.wav
pilot_v1_00666,666,data\raw\audio\pilot_v1\pilot_v1_00666.wav
pilot_v1_00723,723,data\raw\audio\pilot_v1\pilot_v1_00723.wav
pilot_v1_00836,836,data\raw\audio\pilot_v1\pilot_v1_00836.wav
pilot_v1_00841,841,data\raw\audio\pilot_v1\pilot_v1_00841.wav
pilot_v1_00846,846,data\raw\audio\pilot_v1\pilot_v1_00846.wav
pilot_v1_00881,881,data\raw\audio\pilot_v1\pilot_v1_00881.wav
pilot_v1_00904,904,data\raw\audio\pilot_v1\pilot_v1_00904.wav
pilot_v1_00951,951,data\raw\audio\pilot_v1\pilot_v1_00951.wav
pilot_v1_01018,1018,data\raw\audio\pilot_v1\pilot_v1_01018.wav
pilot_v1_01019,1019,data\raw\audio\pilot_v1\pilot_v1_01019.wav
